name,lat,lng,radius_km
서울-도심,37.5665,126.9780,5
서울-강남,37.4979,127.0276,4
부산-서면,35.1577,129.0594,4
인천-구월,37.4563,126.7052,4
대구-중구,35.8714,128.6014,4
대전-둔산,36.3504,127.3845,4
광주-충장로,35.1595,126.8526,4
울산-삼산,35.5384,129.3114,3
세종-도담,36.4801,127.2890,3
수원-인계,37.2636,127.0286,3
성남-분당,37.4200,127.1265,3
고양-일산,37.6584,126.8320,3
용인-수지,37.2411,127.1776,3
창원-상남,35.2280,128.6811,3
청주-성안,36.6424,127.4890,3
전주-객사,35.8242,127.1480,3
천안-불당,36.8151,127.1139,3
제주-노형,33.4996,126.5312,3
춘천-명동,37.8813,127.7300,2
강릉-교동,37.7519,128.8761,2
포항-북구,36.0190,129.3435,2
